fecha,negocio,rubro,comuna,whatsapp,instagram_web,contacto,estado,ultimo_mensaje,proximo_paso,fecha_proximo_paso,observaciones
2026-05-16,Opticas los Carrera SB,Optica independiente,San Bernardo,Pendiente verificar,https://www.lcopticas.com,No identificado,Nuevo,,Verificar WhatsApp en web y enviar mensaje #1,2026-05-16,Catalogo amplio sin canal digital ordenado
2026-05-16,Optica Llifen,Optica con sucursales,San Bernardo + Cerrillos,Pendiente verificar,https://opticallifen.cl,No identificado,Nuevo,,Verificar WhatsApp en web y enviar mensaje #2,2026-05-16,Agenda explicita por WhatsApp manual
2026-05-16,Optica Lizama,Optica tradicional 30+ años,San Bernardo centro,Pendiente verificar,https://www.opticalizama.cl,No identificado,Nuevo,,Verificar WhatsApp y enviar mensaje #3,2026-05-16,30+ años trayectoria, gestion manual probable
2026-05-16,Optica San Bernardo,Optica + contactologia + audifonos + protesis,San Bernardo,+56228561528 (fijo),https://opticasanbernardo.cl,No identificado,Nuevo,,Llamar a fijo para pedir WhatsApp + enviar mensaje #4,2026-05-16,Multiservicio mezcla consultas
2026-05-16,Opticas Provincial,Optica de barrio,San Bernardo,Pendiente verificar,Pendiente (buscar IG),No identificado,Nuevo,,Buscar IG y enviar mensaje #5,2026-05-17,Sin web - 23 reseñas Chilopina
2026-05-16,Optica Skoaj,Optica tienda fisica y online,San Bernardo,Pendiente verificar IG,https://www.instagram.com/opticaskoaj.cl/,No identificado,Nuevo,,Verificar WA en bio IG y enviar mensaje #6,2026-05-16,Venta online + examen visual presencial
2026-05-16,Optica Maxvision San Bernardo,Optica de barrio,San Bernardo,Pendiente verificar IG,https://www.instagram.com/opticamaxvisionsanbernardo/,No identificado,Nuevo,,Verificar WA en bio IG y enviar mensaje #7,2026-05-16,IG canal principal sin web propia
2026-05-16,Optica Chandia,Optica independiente,San Bernardo,Pendiente verificar FB,https://www.facebook.com/OpticaChandia/,No identificado,Nuevo,,Verificar WA en Facebook y enviar mensaje #8,2026-05-16,Reciben recetas por foto a WhatsApp manualmente
2026-05-16,Optica Futuro,Optica familiar + fonoaudiologia,La Cisterna,+56225279588 (fijo),https://optica-futuro.cl/,No identificado,Nuevo,,Llamar a fijo + buscar WA y enviar mensaje #9,2026-05-16,Servicios mixtos optica+fonoaudiologia
2026-05-16,Omega Opticas,Optica familiar domicilio y local,San Miguel,+56979851464,https://omegaopticas.cl/,No identificado,Nuevo,,ENVIAR YA mensaje #10,2026-05-16,WhatsApp confirmado - atencion a domicilio
2026-05-16,Optica OptiPrisma,Optica de barrio,La Cisterna,Pendiente verificar IG,@optiprismaoptica en IG,No identificado,Nuevo,,Verificar WA en IG y enviar mensaje #11,2026-05-16,22 reseñas Chilopina - sin web
2026-05-16,Optica Punto Visual,Optica de barrio,La Cisterna,Pendiente verificar,Pendiente (Gran Avenida 8427),No identificado,Nuevo,,Buscar WA en Google Maps y enviar mensaje #12,2026-05-17,Lun-sab sin sistema digital evidente
2026-05-16,Jorvics Optica,Optica de barrio,La Cisterna,Pendiente verificar FB,https://www.facebook.com/opticajorvics/,No identificado,Nuevo,,Verificar WA en Facebook y enviar mensaje #13,2026-05-16,Gran Avenida 6483 sector Lo Ovalle
2026-05-16,Optica Gran Avenida,Optica de barrio,La Cisterna,+56232326797 (fijo),Pendiente,No identificado,Nuevo,,Llamar a fijo + buscar WA y enviar mensaje #14,2026-05-16,Negocio barrio sin web fuerte
2026-05-16,Optica Popular Maipu,Optica popular de barrio,Maipu,+56935798805,https://www.facebook.com/opticapopulardemaipu/,No identificado,Nuevo,,ENVIAR YA mensaje #15,2026-05-16,WhatsApp confirmado - precios solidarios
2026-05-16,Optica Buona Visione,Optica barrio con operativos,Maipu,+56998514687,https://opticabuonavisione.cl/,No identificado,Nuevo,,ENVIAR YA mensaje #16,2026-05-16,WhatsApp confirmado - 8 años + operativos en colegios
2026-05-16,New Glasses,Centro de contactologia especializado,San Miguel,+56225517908 (fijo),https://www.newglasses.cl/,No identificado,Nuevo,,Llamar a fijo + buscar WA y enviar mensaje #17,2026-05-16,30+ años / 30k adaptaciones contacto
2026-05-16,Optica y Centro Auditivo San Miguel,Optica + centro auditivo,San Miguel,Pendiente verificar,https://www.opticaaudiosanmiguel.com/,No identificado,Nuevo,,Verificar WA en web y enviar mensaje #18,2026-05-16,Doble servicio optica + audiologia
2026-05-16,Optica HyH Maipu,Optica de barrio 20 años,Maipu,Pendiente verificar FB,https://www.facebook.com/Opticahyhmaipu/,No identificado,Nuevo,,Verificar WA en Facebook y enviar mensaje #19,2026-05-16,20 años Maipu (Gustavo Ross 1556)
2026-05-16,Optica Hannover Maipu,Optica en mall local,Maipu,Pendiente verificar IG,https://www.instagram.com/opticahannovermaipu/,No identificado,Nuevo,,Verificar WA en bio IG y enviar mensaje #20,2026-05-16,Mall Pumay Maipu - solo IG
2026-05-16,Optica MYM,Optica con fabricacion propia,Maipu,Pendiente verificar,https://opticamym.cl/,No identificado,Nuevo,,Verificar WA en web/Google Maps y enviar mensaje #21,2026-05-16,Optometria + fabricacion propia
2026-05-16,Optica El Bosque,Optica de barrio,El Bosque,Pendiente verificar FB,https://www.facebook.com/opticaelbosque/,No identificado,Nuevo,,Verificar WA en Facebook y enviar mensaje #22,2026-05-16,Av. Padre Hurtado 11401 - unica El Bosque
