negocio,rubro,comuna_o_zona,web,contacto_publico,angulo,estado,proximo_paso,fuente
Opticas los Carrera SB,Optica independiente,San Bernardo,https://www.lcopticas.com,Pendiente verificar WhatsApp en web,"Catalogo amplio + precios competitivos. Sin formulario de agenda visible — consultas probablemente llegan por WhatsApp o llamada directa",Nuevo,Verificar WhatsApp y enviar mensaje demo,Web publica
Optica Llifen,Optica con sucursales,San Bernardo + Cerrillos,https://opticallifen.cl,Pendiente extraer de web,"Agenda explicitamente por WhatsApp segun su web — flujo manual que se puede ordenar con IA",Nuevo,Verificar numero WhatsApp en web y enviar mensaje demo,Web publica
Optica Lizama,Optica tradicional 30+ años,San Bernardo centro,https://www.opticalizama.cl,Pendiente extraer de web,"Mas de 30 años en el barrio — negocio establecido sin señales de sistema digital robusto. Gran oportunidad de primera impresion moderna",Nuevo,Verificar WhatsApp y enviar mensaje demo,Web publica
Optica San Bernardo,Optica + contactologia + audifonos + protesis,San Bernardo,https://opticasanbernardo.cl,+56228561528,"Multiservicio complejo (lentes + contacto + audifonos + protesis) — flujo de consultas mezcladas que una IA puede separar y derivar por tipo de servicio",Nuevo,Enviar mensaje demo via WhatsApp o llamar para identificar encargado,Web publica
Opticas Provincial,Optica de barrio,San Bernardo,Pendiente,Pendiente verificar,"23 reseñas en Chilopina — activa y valorada por el barrio pero sin web propia. Señal de que todo el contacto llega por DM o llamada",Nuevo,Buscar Instagram y WhatsApp; enviar mensaje demo,Chilopina
Optica Skoaj,Optica independiente con tienda fisica y online,San Bernardo,https://www.instagram.com/opticaskoaj.cl/,Pendiente verificar WhatsApp,"Presencia en IG con venta online y examen visual — probablemente recibe muchas consultas por DM sin sistema que las ordene",Nuevo,Verificar WhatsApp desde IG y enviar mensaje demo,Instagram + Web publica
Optica Maxvision San Bernardo,Optica de barrio,San Bernardo,https://www.instagram.com/opticamaxvisionsanbernardo/,Pendiente verificar WhatsApp,"IG activo como canal principal — sin web propia. Todo el contacto con clientes probablemente pasa por DM o WhatsApp",Nuevo,Verificar WhatsApp desde IG y enviar mensaje demo,Instagram
Optica Chandia,Optica independiente,San Bernardo,https://www.facebook.com/OpticaChandia/,Pendiente verificar WhatsApp,"Reciben pedidos por foto de receta a WhatsApp segun descripcion en Facebook — proceso completamente manual que se puede automatizar",Nuevo,Verificar numero WhatsApp en Facebook y enviar mensaje demo,Facebook
Optica Futuro,Optica familiar + fonoaudiologia,La Cisterna,https://optica-futuro.cl/,+56225279588 (fijo) — WhatsApp pendiente,"IG activo (@opticafuturolacisterna) + web propia + servicio de fonoaudiologia — mayor complejidad de servicios = mas consultas mixtas que ordenar",Nuevo,Verificar si tienen WhatsApp propio y enviar mensaje demo,Web publica + Instagram
Optica OptiPrisma,Optica de barrio con 22 reseñas,La Cisterna,Pendiente,@optiprismaoptica en IG — WhatsApp pendiente,"22 reseñas en Chilopina: clientes la recomiendan por atencion y precios. Sin web conocida — todo el contacto probablemente por IG y llamada",Nuevo,Verificar WhatsApp desde IG @optiprismaoptica y enviar mensaje demo,Chilopina + Instagram
