ranking,nicho,tendencia_observada,cliente_que_paga,oferta_aetria_posible,demanda_20,urgencia_15,capacidad_pago_15,baja_sofisticacion_digital_15,facilidad_piloto_15,riesgo_bajo_10,encaje_aetria_10,total_100,decision,autocritica
1,Mejoramiento del hogar y servicios tecnicos del hogar,"CCS reporta materiales de construccion y mejoramiento del hogar como categoria online dinamica; en RM hay alta demanda de reparaciones y remodelaciones pequenas","maestros, electricistas, gasfiteres, remodeladores, tiendas de materiales, servicios tecnicos","Sistema de captacion por comuna: landing + WhatsApp + CRM + respuestas + ads controlados",18,14,13,13,14,8,10,90,Probar,"Puede haber informalidad, poca disciplina de seguimiento y presupuestos variables; requiere seleccionar prestadores serios."
2,Pet care local y premium,"Tiendas de mascotas en RM pasaron de 530 en 2020 a 1159 en 2025 segun catastro Colliers citado por Portal Metropolitano","pet shops, peluquerias caninas, veterinarias chicas, delivery pet, emprendedores de alimento/accesorios","Agenda/CRM pet + recordatorios + contenido + Google/Instagram + WhatsApp de recompra",17,12,12,12,14,9,9,85,Probar,"Mercado puede estar saturado en tiendas; la oportunidad real esta en servicios recurrentes, agenda, recompra y diferenciacion local."
3,Cuidado familiar adulto mayor no-medico,"Censo 2024 RM: 13,2% de poblacion 65+, 21,6% hogares unipersonales, indice de envejecimiento 76,2","servicios de acompanamiento, cuidadores, transporte a medico, kinesiologia no invasiva, familias que coordinan cuidados","Sistema de confianza: landing + perfil cuidador/servicio + agenda + WhatsApp + seguimiento familiar",18,14,12,12,10,6,8,80,Probar con cuidado,"Riesgo reputacional alto si se promete salud o seguridad; partir por acompanamiento/logistica y no por atencion medica."
4,IA operativa para pymes locales,"Reportes 2025 indican adopcion creciente de IA, pero con brecha de capacitacion y medicion","pymes con atencion repetitiva, ventas por WhatsApp, equipos chicos","Diagnostico IA Pyme + automatizacion de tareas repetidas + capacitacion + CRM",16,12,12,13,14,8,10,85,Usar transversal,"Si se vende como IA generica se vuelve humo; debe venderse como resultado concreto por rubro."
5,Seguridad residencial y comercial pyme,"ENUSC 2024 mantiene dolor fuerte por inseguridad urbana; hogares y negocios buscan prevencion","instaladores de camaras, alarmas, control de acceso, comunidades, locales","Captacion para instaladores + cotizador WhatsApp + CRM + contenido educativo",17,15,13,10,12,5,8,80,Observar/Probar selectivo,"Puede caer en venta basada en miedo; requiere tono responsable y proveedores confiables."
6,Salud mental y teleatencion privada,"Superintendencia de Salud 2026 muestra efecto de telemedicina en salud mental y menor gasto de bolsillo","psicologos, centros pequenos, coaches regulados con cuidado, terapeutas formales","Agenda + captacion responsable + recordatorios + contenidos + formularios de preconsulta",15,13,11,10,10,4,7,70,Observar,"Sector regulado y sensible; evitar claims medicos y trabajar solo con profesionales habilitados."
7,Belleza, estetica y bienestar recurrente,"Demanda urbana por servicios de agenda, tratamientos y cuidado personal; alta competencia en Instagram","peluquerias, barberias, esteticas, manicure, depilacion, masajes","Agenda WhatsApp + catalogo + recordatorios + campanas de recompra + contenido",14,10,10,12,13,8,8,75,Probar si hay caso cercano,"Muchos negocios ya usan Instagram; diferenciar por agenda, recompra y no por 'hacer posts'."
8,Ley REP y economia circular pyme,"Obligaciones REP para envases y embalajes vigentes; empresas necesitan ordenar datos y cumplimiento","pymes que introducen envases, gestores, recicladores, consultores ambientales","Sistema de registro, formularios, reportes y captacion para consultores/gestores",13,11,12,9,8,4,6,63,Observar,"Riesgo legal y tecnico alto; Aetria no debe vender asesoria normativa sin partner experto."
9,Electromovilidad, solar y eficiencia energetica,"Crecen infraestructura, net billing e interes por ahorro energetico, pero ticket alto y venta tecnica","instaladores solares, cargadores EV, electricistas certificados","Landing tecnica + cotizador + CRM + educacion + seguimiento de proyectos",13,10,14,8,8,5,7,65,Observar,"Venta lenta, requiere partners certificados y prueba tecnica. No es primer sprint."
10,Comida preparada saludable y delivery local,"E-commerce alimentos crece, pero hay saturacion de delivery y margen presionado","cocinas locales, emprendedores food, colaciones, meal prep","WhatsApp pedidos + menu + calendario + recompra + contenido",14,10,8,11,12,7,7,69,Observar,"Rubro con alta rotacion, margen bajo y dependencia operativa diaria."
